user,timestamp,changeset,uid,version,id
jamesks,2017-03-03T10:44:20Z,46544644,2500,2,176583914
Dmitry2013,2013-01-19T09:17:51Z,14704657,1185631,2,182545272
ij_,2012-10-03T20:09:41Z,13352942,139957,1,184063861
ij_,2012-10-13T09:31:50Z,13476488,139957,1,185579011
R438,2012-10-26T16:00:57Z,13640021,376715,1,187810687
krispyduck,2014-09-09T11:32:18Z,25326094,105998,5,190408047
hanchao,2014-09-12T02:22:30Z,25380709,499500,2,199903004
greecemapper,2013-02-13T21:02:06Z,15022973,23785,1,205395295
R438,2013-12-25T02:56:59Z,19625051,376715,2,210697483
R438,2013-04-28T18:02:14Z,15899127,376715,1,219289495
FreedSky,2015-12-16T12:15:43Z,35986933,1236135,7,224834638
R438,2013-06-24T12:55:14Z,16684027,376715,1,227135624
R438,2013-07-21T07:01:41Z,17031894,376715,2,230627592
m17design,2013-08-07T06:29:08Z,17249882,486052,1,232603158
m17design,2013-08-30T01:57:36Z,17581656,486052,1,235761641
R438,2013-09-18T07:45:23Z,17899506,376715,1,238407728
baiwubei,2017-05-17T15:29:15Z,48766070,5976189,2,239167102
Chen Jia,2013-09-30T16:23:01Z,18113571,288524,1,240016549
tartanabroad,2013-10-06T15:45:12Z,18214613,1749066,1,240825568
Luis36995,2016-04-26T22:15:35Z,38905694,1829683,2,242214791
R438,2013-10-30T12:01:57Z,18616229,376715,1,244031353
hanchao,2013-11-25T09:58:53Z,19106348,499500,1,248202330
jamesks,2015-05-16T23:00:22Z,31214373,2500,2,251506055
tymmmy,2013-12-27T21:46:57Z,19670038,1852248,1,253873840
Chen Jia,2014-01-12T07:01:09Z,19947539,288524,1,256265268
u_kubota,2014-01-24T12:11:41Z,20176041,421504,1,258088780
hanchao,2014-02-22T13:01:48Z,20713003,499500,1,262843600
JokerAustin,2017-06-10T06:28:31Z,49413526,6121636,2,267948000
hanchao,2014-04-23T02:27:55Z,21876821,499500,1,276433608
hanchao,2014-05-12T02:18:04Z,22282558,499500,1,281237458
Insight Adventures,2014-06-04T03:32:01Z,22726378,1987309,1,286200606
Minjun,2015-04-06T13:58:59Z,30016239,1346860,3,287455745
ediyes,2014-08-08T17:27:13Z,24620173,1240849,1,296729231
baudav,2014-08-15T18:59:29Z,24773794,1595596,1,297973229
jamesks,2014-09-28T10:20:20Z,25721796,2500,1,305390271
Chen Jia,2014-11-13T05:41:06Z,26749263,288524,1,312538946
greecemapper,2014-12-17T18:53:53Z,27536483,23785,1,317707399
Chen Jia,2014-12-25T11:34:29Z,27687576,288524,1,318808486
Chen Jia,2015-01-27T05:56:24Z,28435353,288524,1,324633389
krispyduck,2015-03-26T06:59:46Z,29745097,105998,2,327580889
ff5722,2016-11-26T18:05:01Z,43968625,3450290,2,330066076
greecemapper,2015-03-07T14:19:44Z,29309423,23785,1,331673102
MrCong,2015-03-26T05:19:24Z,29743928,2710355,1,334801781
TheKnightWho,2015-05-06T15:52:41Z,30846634,2819454,1,343243523
RationalTangle,2015-06-02T04:20:36Z,31653673,2639622,1,350719277
Chen Jia,2016-03-18T14:29:11Z,37920225,288524,2,353635479
RationalTangle,2015-06-28T00:43:33Z,32253807,2639622,1,356866679
Chen Jia,2015-07-05T07:31:10Z,32419753,288524,1,358587453
Chen Jia,2015-07-10T02:09:12Z,32533345,288524,1,359677115
Chen Jia,2015-08-07T04:12:50Z,33170129,288524,1,364446963
topstone,2015-08-16T15:31:27Z,33371801,1696339,1,365997161
Hermann001,2015-09-18T20:35:29Z,34111088,1965631,1,371402280
flierfy,2017-02-01T21:50:45Z,45728449,445671,3,383574490
Chen Jia,2016-01-06T14:55:56Z,36405195,288524,1,389892673
Chen Jia,2016-01-08T10:44:45Z,36441977,288524,1,390195797
Chen Jia,2016-01-25T12:46:12Z,36795577,288524,1,393391935
breathlesssss,2016-02-21T14:19:12Z,37347675,3634676,2,399057339
Chen Jia,2016-03-18T14:28:59Z,37920225,288524,1,404398179
Chen Jia,2016-03-24T02:15:40Z,38032300,288524,1,405404964
Chen Jia,2016-03-25T06:15:48Z,38055721,288524,1,405593603
Павел Гетманцев,2016-04-02T09:59:36Z,38245430,571410,1,407185507
michal_m2001,2016-05-26T11:46:04Z,39579251,1973339,4,409562834
hulagirl14,2016-08-11T16:09:07Z,41392169,3695979,2,411814428
Chen Jia,2016-05-06T06:09:28Z,39135623,288524,1,415981768
Chen Jia,2016-05-12T06:15:47Z,39258515,288524,1,417466509
Chen Jia,2016-05-19T07:47:41Z,39417313,288524,1,419406576
Si-,2016-06-02T03:25:35Z,39724284,2760878,1,422328247
Vencej,2016-08-01T14:46:49Z,41169716,2028902,2,435147301
OSM-Bremen,2016-08-23T08:08:30Z,41631997,4446609,1,438502864
lsq278866125,2016-09-01T12:54:08Z,41848570,4429867,1,440194922
Kate Diaz,2017-03-02T07:57:32Z,46515001,4803527,2,444053573
Jason Roy,2017-03-10T02:19:49Z,46726830,5147743,2,449664880
aighes,2016-12-17T15:02:05Z,44471916,110639,1,460189114
hanchao,2017-01-23T03:25:03Z,45383646,499500,1,467852129
rza31,2017-01-25T21:10:56Z,45490593,2137840,1,468883628
ik999,2017-02-15T06:53:55Z,46097766,5317590,1,474747304
nuds,2017-02-21T12:51:02Z,46274150,5121287,1,476078138
Алекс Мок,2017-02-28T18:15:56Z,46474265,4814295,1,477732091
Chen Jia,2017-03-03T02:10:31Z,46537574,288524,1,478185162
Алекс Мок,2017-03-04T09:53:51Z,46567935,4814295,1,478394133
Алекс Мок,2017-03-04T19:31:51Z,46580491,4814295,1,478494920
ik999,2017-03-05T09:09:35Z,46590662,5317590,1,478555913
Алекс Мок,2017-03-08T12:48:39Z,46679798,4814295,1,479265402
ik999,2017-03-11T03:32:18Z,46754422,5317590,1,479825382
Chen Jia,2017-03-24T05:42:06Z,47115006,288524,1,482386554
Bernhard Schoof,2017-04-16T15:18:23Z,47840740,4777087,1,487158773
Chen Jia,2017-05-14T13:56:28Z,48674087,288524,1,493451292
Chen Jia,2017-05-18T15:09:03Z,48794816,288524,1,494449700
Chen Jia,2017-05-24T11:52:50Z,48945406,288524,1,495673830
Chen Jia,2017-05-27T05:08:43Z,49016667,288524,1,496253786
SPTH,2017-06-27T09:26:50Z,49856717,62871,1,503530352
